departamento,municipio,votos,atipico_volumen
BOGOTA DC,BOGOTA DC,3705960,True
ANTIOQUIA,MEDELLIN,1009878,True
VALLE DEL CAUCA,CALI,883217,True
ATLANTICO,BARRANQUILLA,501970,True
NORTE DE SANTANDER,SAN JOSE DE CUCUTA,320722,True
SANTANDER,BUCARAMANGA,306948,True
BOLIVAR,CARTAGENA DE INDIAS,304264,True
TOLIMA,IBAGUE,255315,True
RISARALDA,PEREIRA,234395,True
META,VILLAVICENCIO,225253,True
CALDAS,MANIZALES,208805,True
ANTIOQUIA,BELLO,185544,True
MAGDALENA,SANTA MARTA,170079,True
NARINO,PASTO,165889,True
CORDOBA,MONTERIA,162884,True
HUILA,NEIVA,156239,True
CESAR,VALLEDUPAR,152118,True
CUNDINAMARCA,SOACHA,151985,True
ANTIOQUIA,ENVIGADO,151487,True
QUINDIO,ARMENIA,148610,True
ANTIOQUIA,ITAGUI,144413,True
VALLE DEL CAUCA,PALMIRA,138208,True
CAUCA,POPAYAN,137183,True
SANTANDER,FLORIDABLANCA,129101,True
ATLANTICO,SOLEDAD,121417,True
CONSULADOS,ESTADOS UNIDOS,112815,True
SUCRE,SINCELEJO,107787,True
SANTANDER,BARRANCABERMEJA,99139,True
RISARALDA,DOSQUEBRADAS,94904,True
VALLE DEL CAUCA,TULUA,88304,True
VALLE DEL CAUCA,BUENAVENTURA,87362,True
BOYACA,TUNJA,82722,True
CASANARE,YOPAL,73818,True
ANTIOQUIA,RIONEGRO,71814,True
SANTANDER,GIRON,71190,True
SANTANDER,PIEDECUESTA,70905,True
CAQUETA,FLORENCIA,67718,True
CUNDINAMARCA,CHIA,66474,True
CUNDINAMARCA,FACATATIVA,63969,True
CUNDINAMARCA,FUSAGASUGA,63732,True
CUNDINAMARCA,ZIPAQUIRA,60968,True
BOYACA,SOGAMOSO,60309,True
BOYACA,DUITAMA,59110,True
VALLE DEL CAUCA,CARTAGO,57823,True
VALLE DEL CAUCA,GUADALAJARA DE BUGA,57616,True
HUILA,PITALITO,52416,True
VALLE DEL CAUCA,JAMUNDI,52272,True
VALLE DEL CAUCA,YUMBO,51741,True
CUNDINAMARCA,MOSQUERA,49645,True
LA GUAJIRA,RIOHACHA,49327,True
CUNDINAMARCA,GIRARDOT,48377,True
NARINO,SAN ANDRES DE TUMACO,47813,True
ANTIOQUIA,SABANETA,47259,True
CUNDINAMARCA,FUNZA,47063,True
CUNDINAMARCA,MADRID,44317,True
NORTE DE SANTANDER,OCANA,43863,True
CORDOBA,LORICA,43813,True
ANTIOQUIA,APARTADO,43472,True
META,ACACIAS,43036,True
BOLIVAR,MAGANGUE,42826,True
NARINO,IPIALES,41858,True
CAUCA,SANTANDER DE QUILICHAO,41827,True
NORTE DE SANTANDER,LOS PATIOS,40917,True
CESAR,AGUACHICA,40134,True
NORTE DE SANTANDER,VILLA DEL ROSARIO,39752,True
CORDOBA,SAHAGUN,39655,True
CORDOBA,CERETE,38817,True
ANTIOQUIA,CALDAS,38672,True
LA GUAJIRA,MAICAO,38399,True
ATLANTICO,MALAMBO,38185,True
ANTIOQUIA,COPACABANA,37753,True
RISARALDA,SANTA ROSA DE CABAL,36683,True
VALLE DEL CAUCA,CANDELARIA,36340,True
ARAUCA,ARAUCA,35774,True
ATLANTICO,SABANALARGA,35649,True
CHOCO,QUIBDO,35499,True
MAGDALENA,CIENAGA,35224,True
CONSULADOS,VENEZUELA,35007,True
TOLIMA,ESPINAL,34780,True
CUNDINAMARCA,CAJICA,34702,True
ANTIOQUIA,TURBO,34615,True
QUINDIO,CALARCA,34533,True
ANTIOQUIA,LA ESTRELLA,33242,True
ANTIOQUIA,LA CEJA,33146,True
ANTIOQUIA,CAUCASIA,31518,True
CORDOBA,MONTELIBANO,28974,True
CALDAS,LA DORADA,28891,True
NORTE DE SANTANDER,PAMPLONA,28663,True
HUILA,GARZON,28527,True
META,GRANADA,28405,True
ANTIOQUIA,MARINILLA,27208,True
SUCRE,COROZAL,27187,True
CONSULADOS,ESPANA,26946,True
VALLE DEL CAUCA,EL CERRITO,26746,True
ANTIOQUIA,GIRARDOTA,26402,True
CALDAS,VILLAMARIA,26357,True
VALLE DEL CAUCA,FLORIDA,26060,True
SANTANDER,SAN GIL,25738,True
BOLIVAR,TURBACO,25429,True
CALDAS,CHINCHINA,25052,True
BOYACA,CHIQUINQUIRA,24604,True
ANTIOQUIA,EL CARMEN DE VIBORAL,24599,True
CORDOBA,PLANETA RICA,24486,True
CORDOBA,TIERRALTA,24040,True
CORDOBA,CIENAGA DE ORO,23810,True
ATLANTICO,BARANOA,23552,True
BOLIVAR,EL CARMEN DE BOLIVAR,23185,True
ANTIOQUIA,GUARNE,23178,True
MAGDALENA,FUNDACION,22883,True
HUILA,LA PLATA,22174,True
CESAR,AGUSTIN CODAZZI,21966,True
CORDOBA,CHINU,21566,True
MAGDALENA,EL BANCO,21291,True
ANTIOQUIA,BARBOSA,21133,True
BOYACA,PUERTO BOYACA,21100,True
CALDAS,RIOSUCIO,20855,True
SUCRE,SAN MARCOS,20718,True
BOLIVAR,ARJONA,20586,True
VALLE DEL CAUCA,PRADERA,20572,True
CUNDINAMARCA,TOCANCIPA,19807,True
PUTUMAYO,PUERTO ASIS,19796,True
ANTIOQUIA,CHIGORODO,19714,True
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,19690,True
CASANARE,AGUAZUL,19482,True
SANTANDER,LEBRIJA,19427,True
PUTUMAYO,MOCOA,19119,True
VALLE DEL CAUCA,ZARZAL,19110,True
SUCRE,SAMPUES,18610,False
GUAVIARE,SAN JOSE DEL GUAVIARE,18473,False
LA GUAJIRA,URIBIA,18340,False
ANTIOQUIA,CAREPA,18306,False
CAUCA,PUERTO TEJADA,18268,False
ANTIOQUIA,EL SANTUARIO,18253,False
TOLIMA,CHAPARRAL,17893,False
SUCRE,SAN ONOFRE,17738,False
MAGDALENA,PLATO,17725,False
QUINDIO,MONTENEGRO,17537,False
VALLE DEL CAUCA,SEVILLA,17491,False
ARAUCA,TAME,17476,False
CORDOBA,SAN PELAYO,17429,False
ATLANTICO,PUERTO COLOMBIA,17079,False
ATLANTICO,GALAPA,16975,False
MAGDALENA,ZONA BANANERA,16970,False
TOLIMA,MELGAR,16734,False
CUNDINAMARCA,COTA,16711,False
RISARALDA,LA VIRGINIA,16686,False
ARAUCA,SARAVENA,16593,False
TOLIMA,LIBANO,16585,False
LA GUAJIRA,SAN JUAN DEL CESAR,16575,False
BOYACA,PAIPA,16527,False
CUNDINAMARCA,SIBATE,16492,False
VALLE DEL CAUCA,ROLDANILLO,16415,False
CONSULADOS,CANADA,15992,False
NARINO,TUQUERRES,15984,False
VALLE DEL CAUCA,DAGUA,15791,False
META,PUERTO GAITAN,15678,False
QUINDIO,QUIMBAYA,15626,False
VALLE DEL CAUCA,LA UNION,15567,False
QUINDIO,LA TEBAIDA,15515,False
ANTIOQUIA,SANTA ROSA DE OSOS,15498,False
ANTIOQUIA,ANDES,15404,False
CALDAS,ANSERMA,15399,False
CASANARE,PAZ DE ARIPORO,15240,False
CESAR,LA JAGUA DE IBIRICO,15003,False
TOLIMA,SAN SEBASTIAN DE MARIQUITA,14898,False
VALLE DEL CAUCA,GUACARI,14839,False
ANTIOQUIA,YARUMAL,14738,False
NORTE DE SANTANDER,TIBU,14630,False
CUNDINAMARCA,LA MESA,14597,False
AMAZONAS,LETICIA,14559,False
CUNDINAMARCA,LA CALERA,14441,False
SANTANDER,SOCORRO,14429,False
ANTIOQUIA,SONSON,14313,False
SANTANDER,BARBOSA,14300,False
ANTIOQUIA,PUERTO BERRIO,14276,False
CASANARE,VILLANUEVA,14234,False
CUNDINAMARCA,VILLETA,13952,False
BOLIVAR,SANTA CRUZ DE MOMPOX,13946,False
CESAR,BOSCONIA,13912,False
CORDOBA,SAN ANDRES DE SOTAVENTO,13879,False
META,PUERTO LOPEZ,13832,False
QUINDIO,CIRCASIA,13805,False
VALLE DEL CAUCA,CAICEDONIA,13788,False
CAUCA,EL TAMBO,13721,False
SANTANDER,CIMITARRA,13706,False
LA GUAJIRA,FONSECA,13683,False
BOLIVAR,SAN JUAN NEPOMUCENO,13547,False
CAUCA,PIENDAMO  TUNIA,13492,False
SUCRE,MAJAGUAL,13366,False
CUNDINAMARCA,SOPO,13364,False
HUILA,CAMPOALEGRE,13357,False
SUCRE,SAN LUIS DE SINCE,13331,False
CAQUETA,SAN VICENTE DEL CAGUAN,13321,False
TOLIMA,GUAMO,13162,False
PUTUMAYO,ORITO,13054,False
CESAR,CURUMANI,13035,False
TOLIMA,FRESNO,13008,False
CAUCA,TIMBIO,12901,False
BOLIVAR,MARIA LA BAJA,12783,False
CORDOBA,AYAPEL,12671,False
ATLANTICO,SANTO TOMAS,12578,False
CUNDINAMARCA,EL COLEGIO,12535,False
SUCRE,SANTIAGO DE TOLU,12496,False
CUNDINAMARCA,GUADUAS,12463,False
CAUCA,MIRANDA,12326,False
CORDOBA,PUERTO LIBERTADOR,12283,False
HUILA,SAN AGUSTIN,12210,False
CUNDINAMARCA,PACHO,12091,False
ATLANTICO,SABANAGRANDE,12061,False
SANTANDER,RIONEGRO,12000,False
ANTIOQUIA,RETIRO,11974,False
CUNDINAMARCA,EL ROSAL,11930,False
ANTIOQUIA,NECOCLI,11924,False
CORDOBA,PUEBLO NUEVO,11924,False
SANTANDER,PUERTO WILCHES,11882,False
ARAUCA,ARAUQUITA,11845,False
SANTANDER,SAN VICENTE DE CHUCURI,11843,False
CAUCA,BOLIVAR,11780,False
CALDAS,SUPIA,11733,False
ANTIOQUIA,EL BAGRE,11717,False
MAGDALENA,PIVIJAY,11705,False
CAUCA,SILVIA,11689,False
TOLIMA,HONDA,11664,False
CESAR,EL PASO,11627,False
SANTANDER,SABANA DE TORRES,11613,False
TOLIMA,ORTEGA,11582,False
PUTUMAYO,VALLE DEL GUAMUEZ,11577,False
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,SAN ANDRES,11572,False
NARINO,CUMBAL,11470,False
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,11445,False
CASANARE,TAURAMENA,11433,False
RISARALDA,BELEN DE UMBRIA,11359,False
NORTE DE SANTANDER,ABREGO,11310,False
NARINO,LA UNION,11295,False
ANTIOQUIA,LA UNION,11234,False
SUCRE,OVEJAS,11213,False
HUILA,ISNOS,11208,False
CAUCA,CALOTO,11171,False
BOLIVAR,SANTA ROSA DEL SUR,11158,False
CAUCA,CALDONO,11157,False
MAGDALENA,ARACATACA,11135,False
META,CUMARAL,11124,False
NORTE DE SANTANDER,EL ZULIA,11091,False
CUNDINAMARCA,TABIO,11054,False
META,SAN MARTIN,11035,False
CUNDINAMARCA,TENJO,11034,False
CESAR,EL COPEY,10986,False
CAUCA,TORIBIO,10806,False
CORDOBA,SAN BERNARDO DEL VIENTO,10806,False
CORDOBA,TUCHIN,10805,False
CALDAS,NEIRA,10785,False
HUILA,ACEVEDO,10777,False
ANTIOQUIA,CIUDAD BOLIVAR,10748,False
TOLIMA,PURIFICACION,10708,False
HUILA,PALERMO,10665,False
SUCRE,LOS PALMITOS,10646,False
CORDOBA,SAN ANTERO,10606,False
CAUCA,CORINTO,10537,False
ANTIOQUIA,AMAGA,10460,False
RISARALDA,QUINCHIA,10435,False
CORDOBA,VALENCIA,10336,False
CESAR,CHIMICHAGUA,10311,False
CESAR,CHIRIGUANA,10272,False
LA GUAJIRA,MANAURE,10243,False
MAGDALENA,ARIGUANI,10160,False
ANTIOQUIA,ARBOLETES,10156,False
CUNDINAMARCA,SILVANIA,10151,False
CESAR,SAN ALBERTO,10149,False
SUCRE,SAN JOSE DE TOLUVIEJO,10134,False
VALLE DEL CAUCA,BUGALAGRANDE,10083,False
ATLANTICO,REPELON,10079,False
CALDAS,AGUADAS,10039,False
CAUCA,PATIA,9935,False
ANTIOQUIA,SANTA BARBARA,9925,False
CUNDINAMARCA,COGUA,9877,False
ANTIOQUIA,SAN VICENTE FERRER,9863,False
LA GUAJIRA,BARRANCAS,9859,False
ANTIOQUIA,SANTA FE DE ANTIOQUIA,9856,False
HUILA,GIGANTE,9800,False
BOYACA,MONIQUIRA,9787,False
BOLIVAR,SAN JACINTO,9779,False
CESAR,SAN MARTIN,9734,False
TOLIMA,FLANDES,9674,False
VALLE DEL CAUCA,ANDALUCIA,9659,False
CESAR,LA PAZ,9646,False
ANTIOQUIA,SAN PEDRO DE URABA,9518,False
VALLE DEL CAUCA,GINEBRA,9454,False
SANTANDER,MALAGA,9425,False
CAUCA,PAEZ,9321,False
CAUCA,CAJIBIO,9299,False
META,RESTREPO,9279,False
ATLANTICO,PALMAR DE VARELA,9265,False
ATLANTICO,LURUACO,9161,False
ANTIOQUIA,PENOL,9131,False
HUILA,TIMANA,9071,False
HUILA,RIVERA,9067,False
SUCRE,SUCRE,9058,False
LA GUAJIRA,VILLANUEVA,9043,False
CALDAS,PENSILVANIA,9029,False
NARINO,SAMANIEGO,8996,False
ANTIOQUIA,DONMATIAS,8965,False
CUNDINAMARCA,CHOCONTA,8962,False
CUNDINAMARCA,CAQUEZA,8872,False
CUNDINAMARCA,VILLAPINZON,8803,False
TOLIMA,PLANADAS,8751,False
CALDAS,SAMANA,8717,False
PUTUMAYO,VILLAGARZON,8694,False
TOLIMA,ROVIRA,8677,False
SANTANDER,VELEZ,8661,False
CONSULADOS,ARGENTINA,8611,False
BOYACA,NOBSA,8605,False
CAUCA,GUACHENE,8595,False
ATLANTICO,CAMPO DE LA CRUZ,8590,False
NARINO,BUESACO,8542,False
CAUCA,INZA,8463,False
SUCRE,SAN PEDRO,8460,False
CUNDINAMARCA,SUBACHOQUE,8450,False
META,CASTILLA LA NUEVA,8446,False
CAUCA,ARGELIA,8348,False
GUAINIA,INIRIDA,8325,False
CHOCO,ISTMINA,8297,False
ANTIOQUIA,URRAO,8287,False
NORTE DE SANTANDER,CHINACOTA,8280,False
SUCRE,SAN BENITO ABAD,8270,False
VALLE DEL CAUCA,ANSERMANUEVO,8245,False
CORDOBA,SAN CARLOS,8208,False
CUNDINAMARCA,LA VEGA,8198,False
CESAR,RIO DE ORO,8191,False
CONSULADOS,ECUADOR,8177,False
CONSULADOS,CHILE,8149,False
MAGDALENA,GUAMAL,8102,False
CAUCA,MORALES,8100,False
CAUCA,VILLA RICA,8081,False
SUCRE,GALERAS,8066,False
TOLIMA,CAJAMARCA,8018,False
RISARALDA,MARSELLA,7971,False
META,GUAMAL,7926,False
CALDAS,MANZANARES,7908,False
BOLIVAR,MAHATES,7897,False
CAUCA,BUENOS AIRES,7895,False
CONSULADOS,AUSTRALIA,7891,False
BOLIVAR,SAN PABLO,7861,False
ATLANTICO,JUAN DE ACOSTA,7827,False
ATLANTICO,PONEDERA,7795,False
TOLIMA,LERIDA,7749,False
NORTE DE SANTANDER,SARDINATA,7725,False
ATLANTICO,POLONUEVO,7719,False
LA GUAJIRA,DIBULLA,7698,False
CAQUETA,PUERTO RICO,7697,False
HUILA,AIPE,7686,False
VALLE DEL CAUCA,TRUJILLO,7677,False
NARINO,SANDONA,7665,False
ANTIOQUIA,SEGOVIA,7663,False
SUCRE,MORROA,7662,False
LA GUAJIRA,ALBANIA,7658,False
CORDOBA,COTORRA,7657,False
BOYACA,SAMACA,7648,False
BOYACA,VILLA DE LEYVA,7644,False
CALDAS,VITERBO,7598,False
CORDOBA,MOMIL,7573,False
VALLE DEL CAUCA,RIOFRIO,7570,False
CASANARE,MONTERREY,7536,False
BOLIVAR,ACHI,7529,False
ANTIOQUIA,COCORNA,7517,False
MAGDALENA,SANTA ANA,7514,False
ANTIOQUIA,FREDONIA,7512,False
VALLE DEL CAUCA,SAN PEDRO,7505,False
MAGDALENA,PUEBLOVIEJO,7457,False
ANTIOQUIA,TAMESIS,7448,False
CORDOBA,BUENAVISTA,7427,False
CESAR,BECERRIL,7417,False
CESAR,SAN DIEGO,7408,False
CUNDINAMARCA,ANAPOIMA,7355,False
TOLIMA,ATACO,7348,False
NARINO,GUACHUCAL,7330,False
MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,7317,False
CORDOBA,MONITOS,7303,False
CORDOBA,PUERTO ESCONDIDO,7291,False
TOLIMA,COYAIMA,7262,False
ANTIOQUIA,SAN CARLOS,7261,False
NARINO,LA CRUZ,7259,False
CESAR,ASTREA,7244,False
CALDAS,SALAMINA,7231,False
CUNDINAMARCA,GUASCA,7223,False
NARINO,PUPIALES,7222,False
CUNDINAMARCA,GACHANCIPA,7220,False
BOLIVAR,CALAMAR,7205,False
HUILA,ALGECIRAS,7165,False
MAGDALENA,NUEVA GRANADA,7142,False
BOYACA,AQUITANIA,7134,False
CUNDINAMARCA,CHOACHI,7129,False
CALDAS,PALESTINA,7102,False
ANTIOQUIA,JARDIN,7070,False
CUNDINAMARCA,SUESCA,7049,False
VICHADA,PUERTO CARRENO,7020,False
CESAR,PAILITAS,7008,False
BOYACA,GARAGOA,6996,False
VALLE DEL CAUCA,YOTOCO,6995,False
ANTIOQUIA,YONDO,6983,False
CESAR,PELAYA,6968,False
ANTIOQUIA,PUERTO TRIUNFO,6963,False
ANTIOQUIA,SAN JUAN DE URABA,6916,False
CAQUETA,EL DONCELLO,6884,False
VALLE DEL CAUCA,BOLIVAR,6862,False
SUCRE,SAN JUAN DE BETULIA,6842,False
META,VISTAHERMOSA,6808,False
CUNDINAMARCA,TOCAIMA,6807,False
NARINO,TAMINANGO,6774,False
VALLE DEL CAUCA,CALIMA,6760,False
CONSULADOS,PANAMA,6736,False
TOLIMA,NATAGAIMA,6723,False
SANTANDER,PUENTE NACIONAL,6722,False
VALLE DEL CAUCA,RESTREPO,6703,False
HUILA,SUAZA,6701,False
TOLIMA,SALDANA,6693,False
ANTIOQUIA,CANASGORDAS,6671,False
CUNDINAMARCA,NEMOCON,6664,False
BOLIVAR,SAN ESTANISLAO,6640,False
CASANARE,MANI,6636,False
CAUCA,GUAPI,6634,False
BOLIVAR,PINILLOS,6600,False
BOLIVAR,CORDOBA,6594,False
ANTIOQUIA,ABEJORRAL,6582,False
CORDOBA,LOS CORDOBAS,6581,False
CUNDINAMARCA,ANOLAIMA,6564,False
ANTIOQUIA,SAN ROQUE,6536,False
NORTE DE SANTANDER,TOLEDO,6528,False
TOLIMA,RIOBLANCO,6458,False
CAUCA,SUAREZ,6449,False
BOLIVAR,VILLANUEVA,6442,False
HUILA,GUADALUPE,6428,False
CUNDINAMARCA,PUERTO SALGAR,6422,False
CORDOBA,PURISIMA DE LA CONCEPCION,6421,False
CAUCA,TIMBIQUI,6408,False
TOLIMA,SAN LUIS,6403,False
CALDAS,PACORA,6392,False
CAUCA,BALBOA,6360,False
HUILA,TARQUI,6317,False
VALLE DEL CAUCA,LA CUMBRE,6316,False
ANTIOQUIA,SAN JERONIMO,6291,False
ATLANTICO,CANDELARIA,6246,False
SANTANDER,EL PLAYON,6164,False
LA GUAJIRA,HATONUEVO,6144,False
CUNDINAMARCA,RICAURTE,6122,False
CAQUETA,CARTAGENA DEL CHAIRA,6102,False
ANTIOQUIA,CONCORDIA,6100,False
BOLIVAR,TURBANA,6086,False
CALDAS,MARQUETALIA,6082,False
ANTIOQUIA,YOLOMBO,6054,False
ANTIOQUIA,AMALFI,6049,False
NARINO,EL TAMBO,6027,False
ATLANTICO,MANATI,6013,False
ANTIOQUIA,REMEDIOS,6009,False
ANTIOQUIA,SAN RAFAEL,5992,False
NARINO,SAN LORENZO,5990,False
SANTANDER,EL CARMEN DE CHUCURI,5988,False
RISARALDA,SANTUARIO,5967,False
VALLE DEL CAUCA,TORO,5961,False
MAGDALENA,EL RETEN,5961,False
CHOCO,RIOSUCIO,5943,False
CUNDINAMARCA,VIOTA,5941,False
CESAR,PUEBLO BELLO,5913,False
CUNDINAMARCA,FOMEQUE,5908,False
ANTIOQUIA,SAN LUIS,5908,False
QUINDIO,FILANDIA,5906,False
CORDOBA,CHIMA,5889,False
CONSULADOS,INGLATERRA,5883,False
ANTIOQUIA,DABEIBA,5883,False
ANTIOQUIA,SOPETRAN,5880,False
VALLE DEL CAUCA,LA VICTORIA,5824,False
CESAR,LA GLORIA,5804,False
CALDAS,ARANZAZU,5791,False
CORDOBA,CANALETE,5775,False
CUNDINAMARCA,ARBELAEZ,5718,False
RISARALDA,GUATICA,5717,False
MAGDALENA,SITIONUEVO,5716,False
CONSULADOS,MEXICO,5714,False
TOLIMA,VENADILLO,5710,False
SUCRE,COVENAS,5686,False
BOLIVAR,MORALES,5672,False
CAUCA,LA VEGA,5657,False
SUCRE,GUARANDA,5649,False
CONSULADOS,FRANCIA,5629,False
RISARALDA,APIA,5624,False
ANTIOQUIA,TARAZA,5616,False
ANTIOQUIA,JERICO,5601,False
BOYACA,TIBASOSA,5577,False
BOYACA,VENTAQUEMADA,5561,False
CALDAS,BELALCAZAR,5556,False
CUNDINAMARCA,AGUA DE DIOS,5542,False
ANTIOQUIA,SALGAR,5530,False
ANTIOQUIA,CACERES,5516,False
PUTUMAYO,SIBUNDOY,5492,False
CUNDINAMARCA,SESQUILE,5487,False
HUILA,LA ARGENTINA,5478,False
CUNDINAMARCA,SIMIJACA,5459,False
ANTIOQUIA,NECHI,5450,False
VALLE DEL CAUCA,ALCALA,5449,False
CORDOBA,LA APARTADA,5435,False
CASANARE,TRINIDAD,5429,False
MAGDALENA,CHIVOLO,5422,False
BOYACA,SANTA ROSA DE VITERBO,5414,False
MAGDALENA,EL PINON,5407,False
ANTIOQUIA,ZARAGOZA,5406,False
ANTIOQUIA,FRONTINO,5395,False
ANTIOQUIA,PUERTO NARE,5394,False
CUNDINAMARCA,CACHIPAY,5394,False
VALLE DEL CAUCA,OBANDO,5385,False
VAUPES,MITU,5367,False
NARINO,EL TABLON DE GOMEZ,5366,False
TOLIMA,SAN ANTONIO,5361,False
SANTANDER,CURITI,5345,False
NARINO,SAN PABLO,5332,False
BOLIVAR,SIMITI,5322,False
VALLE DEL CAUCA,VIJES,5317,False
CAUCA,TOTORO,5288,False
NORTE DE SANTANDER,PUERTO SANTANDER,5279,False
HUILA,TELLO,5274,False
ANTIOQUIA,BETULIA,5272,False
HUILA,PITAL,5271,False
CUNDINAMARCA,SAN FRANCISCO,5268,False
BOYACA,SABOYA,5266,False
ANTIOQUIA,GRANADA,5247,False
CAUCA,MERCADERES,5242,False
META,SAN CARLOS DE GUAROA,5235,False
MAGDALENA,SABANAS DE SAN ANGEL,5228,False
CHOCO,TADO,5209,False
SANTANDER,LOS SANTOS,5201,False
META,FUENTE DE ORO,5199,False
TOLIMA,CARMEN DE APICALA,5198,False
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,5196,False
HUILA,SALADOBLANCO,5182,False
NARINO,EL CHARCO,5178,False
SANTANDER,CHARALA,5177,False
RISARALDA,MISTRATO,5174,False
PUTUMAYO,SAN MIGUEL,5150,False
NARINO,BARBACOAS,5133,False
CAUCA,JAMBALO,5132,False
PUTUMAYO,PUERTO LEGUIZAMO,5124,False
CUNDINAMARCA,SASAIMA,5124,False
CALDAS,RISARALDA,5106,False
MAGDALENA,ALGARROBO,5086,False
BOYACA,GUATEQUE,5080,False
CUNDINAMARCA,CAPARRAPI,5044,False
ARAUCA,FORTUL,5039,False
CESAR,GAMARRA,5028,False
ATLANTICO,TUBARA,5019,False
CAUCA,ALMAGUER,4986,False
CUNDINAMARCA,GACHETA,4968,False
BOLIVAR,SANTA ROSA,4965,False
SUCRE,LA UNION,4955,False
HUILA,PALESTINA,4943,False
ANTIOQUIA,CISNEROS,4933,False
MAGDALENA,TENERIFE,4926,False
NARINO,CHACHAGUI,4926,False
NORTE DE SANTANDER,CHITAGA,4920,False
SANTANDER,OIBA,4902,False
SUCRE,CAIMITO,4882,False
ATLANTICO,SANTA LUCIA,4859,False
CUNDINAMARCA,GUACHETA,4833,False
HUILA,SANTA MARIA,4829,False
ANTIOQUIA,EBEJICO,4796,False
CUNDINAMARCA,CHIPAQUE,4784,False
CUNDINAMARCA,SAN JUAN DE RIOSECO,4772,False
ANTIOQUIA,VENECIA,4771,False
SUCRE,PALMITO,4767,False
NARINO,CORDOBA,4729,False
NORTE DE SANTANDER,SALAZAR,4703,False
TOLIMA,ARMERO,4699,False
BOYACA,COMBITA,4679,False
NARINO,GUAITARILLA,4641,False
CALDAS,FILADELFIA,4640,False
CESAR,TAMALAMEQUE,4637,False
NORTE DE SANTANDER,CONVENCION,4636,False
META,PUERTO RICO,4635,False
BOLIVAR,SAN MARTIN DE LOBA,4628,False
NARINO,RICAURTE,4618,False
BOYACA,SOATA,4616,False
ANTIOQUIA,ENTRERRIOS,4589,False
CHOCO,ALTO BAUDO,4582,False
VALLE DEL CAUCA,EL DOVIO,4578,False
ANTIOQUIA,GUATAPE,4571,False
SUCRE,BUENAVISTA,4570,False
BOLIVAR,TIQUISIO,4570,False
MAGDALENA,SAN ZENON,4566,False
